Combined Name,Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (g),Sodium (g),Carbs,Fiber,Sugars (g),Protein (g),Weight Watchers Pnts,Weight Watchers Pnts_old
HOMESTYLE SIDES_Mashed Potatoes With Gravy (Family),590,21,5,0,0,2.59,88,6,1,12,12.75,584
HOMESTYLE SIDES_Potato Salad (Family),1200,98,16,0,0.08,1.01,65,8,12,8,31.36666667,1220
HOMESTYLE SIDES_Secret Recipe Fries (Family),840,40,5,0,0,2.89,108,9,0,13,19.33333333,832
HOMESTYLE SIDES_Sweet Kernel Corn (Family),280,2.5,0,0,0,0.01,67,7,8,10,5.008333333,278
SANDWICHES_Chicken Littles,300,15,2.5,0,0.03,0.62,27,1,3,14,7.05,291.5
SANDWICHES_Chicken Littles – Buffalo,310,17,2.5,0,0.03,0.79,27,1,3,14,7.416666667,301.5
SANDWICHES_Chicken Littles – Honey BBQ,320,15,2.5,0,0.03,0.68,31,1,7,14,7.45,315.5
SANDWICHES_Chicken Littles – Nashville Hot,340,19,3,0,0.03,0.68,27,1,3,14,8.183333333,332
SANDWICHES_Classic Chicken Sandwich,650,35,4.5,0,0.09,1.26,49,1,6,34,15.71666667,626.5
SANDWICHES_Crispy Colonel’s Sandwich,470,24,3.5,0,0.06,1.17,39,0.5,4,24,11.3,453.5
SANDWICHES_Crispy Colonel’s Sandwich – Buffalo,500,27,4,0,0.06,1.5,39,0.5,4,24,12.15,484
SANDWICHES_Crispy Colonel’s Sandwich – Honey BBQ,510,25,3.5,0,0.06,1.29,48,0.5,12,24,12.18333333,501.5
SANDWICHES_Crispy Colonel’s Sandwich – Nashville Hot,540,32,4.5,0,0.06,1.29,40,0.5,5,24,13.36666667,525.5
SANDWICHES_Crispy Twister ,630,34,7,0,0.07,1.26,53,4,3,28,14.63333333,612
SANDWICHES_Honey BBQ Sandwich,350,3.5,0.5,0,0.06,1.35,55,2,22,24,6.891666667,348.5
SANDWICHES_Spicy Chicken Sandwich,620,33,4,0,0.09,2.14,49,1,6,34,14.95,596
POT PIE AND BOWLS_Chicken Pot Pie,720,41,25,0,0.08,1.75,60,7,5,26,17.01666667,724
POT PIE AND BOWLS_KFC  Famous Bowl,740,35,6,0,0.05,2.35,81,6,2,26,16.91666667,722
POT PIE AND BOWLS_KFC  Famous Bowl – Snack Size,270,14,3.5,0,0.02,0.85,27,2,1,11,6.166666667,263.5
SALADS_Caesar Side Salad,40,2,1,0,0.01,0.09,2,1,1,3,0.766666667,39
SALADS_House Side Salad,15,0,0,0,0,0.01,3,2,2,1,0,16
SALADS_Heinz Buttermilk Dressing,160,17,2,0,0.01,0.22,1,0,1,0,4.616666667,163
SALADS_Hidden Valley The Original Ranch Fat Free Dressing,35,0,0,0,0,0.41,8,0,2,1,0.7,36
SALADS_KFC  Creamy Parmesan Caesar Dressing,260,26,5,0,0.02,0.54,4,0,2,2,7.366666667,265
SALADS_Marzetti Light Italian Dressing,15,0.5,0,0,0,0.51,2,0,1,0,0.341666667,16
SALADS_Parmesan Garlic Croutons,60,3,0,0,0,0.14,8,0.5,0,2,1.35,58
DESSERTS_Apple Turnover,230,10,2.5,0,0,0.14,32,0.5,12,2,5.333333333,242.5
DESSERTS_Café Valley Chocolate Chip Cake (1 Slice),300,15,3,0,0.05,0.26,39,1,27,4,7.05,326
DESSERTS_Café Valley Lemon Cake (1 Slice),220,10,2,0,0.03,0.17,30,0,20,2,5.233333333,240
DESSERTS_Café Valley Mini Chocolate Chip Cake,300,12,2.5,0,0.04,0.19,49,1,35,3,6.8,334.5
DESSERTS_Café Valley Mini Lemon Cake,300,13,2.5,0,0.05,0.23,43,0,31,3,7.083333333,330.5
DESSERTS_Chocolate Chip Cookie,120,6,3,0,0,0.07,18,1,12,1,2.7,134
DESSERTS_Oreo Cookies and Crème Pie,270,13,8,0,0,0.21,35,1,24,3,6.283333333,299
DESSERTS_Reese’s Peanut Butter Pie,300,17,9,0,0,0.27,33,1,22,5,7.216666667,326
DIPPING SAUCES & CONDIMENTS_BBQ – Dipping Sauce Cup,45,0,0,0,0,0.15,11,0,11,0,0.9,56
DIPPING SAUCES & CONDIMENTS_Colonel’s Buttery Spread,35,4,1.5,0,0,0.04,0,0,0,0,1.033333333,36.5
DIPPING SAUCES & CONDIMENTS_Grape Jelly Packet,35,0,0,0,0,0.01,9,0,7,0,0.7,42
DIPPING SAUCES & CONDIMENTS_Honey Mustard – Dipping Sauce Cup,110,9,1.5,0,0,0.12,6,0,6,0,2.95,117.5
DIPPING SAUCES & CONDIMENTS_Honey Sauce Packet,30,0,0,0,0,0,8,0,5,0,0.6,35
DIPPING SAUCES & CONDIMENTS_Ketchup,30,0,0,0,0,0.25,8,0,6,0,0.6,36
DIPPING SAUCES & CONDIMENTS_KFC Sauce – Dipping Sauce Cup,90,8,1.5,0,0.01,0.17,5,0,5,0,2.466666667,96.5
DIPPING SAUCES & CONDIMENTS_Lemon Juice Packet,5,0,0,0,0,0.02,1,0,0,0,0.1,5
DIPPING SAUCES & CONDIMENTS_Ranch – Dipping Sauce Cup,130,14,2.5,0,0.01,0.24,2,0,1,0,3.766666667,133.5
DIPPING SAUCES & CONDIMENTS_Strawberry Jam Packet,35,0,0,0,0,0,9,0,6,0,0.7,41
KIDS DRINKS_Capri Sun  100% Juice Fruit Punch,80,0,0,0,0,0.03,21,0,20,0,1.6,100
KIDS DRINKS_Chocolate Milk 1%,150,2.5,1.5,0,0.01,0.17,26,0,23,7,3.208333333,167.5
KIDS DRINKS_Milk 1%,90,2,1.5,0,0.01,0.11,10,0,10,7,1.966666667,94.5
KIDS MEAL APPLESAUCE_Musselman’s™ Applesauce,45,0,0,0,0,0,12,1,8,0,0.7,53
BEVERAGES_7UP  (12 fl oz),140,0,0,0,0,0.05,35,0,35,0,2.8,175
BEVERAGES_7UP  (16 fl oz),190,0,0,0,0,0.07,46,0,46,0,3.8,236
BEVERAGES_7UP  (20 fl oz),240,0,0,0,0,0.09,58,0,58,0,4.8,298
BEVERAGES_7UP  (30 fl oz),350,0,0,0,0,0.13,87,0,87,0,7,437
BEVERAGES_Classic Lemonade (1/2 Gallon),880,0,0,0,0,0.78,234,0,228,0,17.6,1108
BEVERAGES_Classic Lemonade (20 fl oz),140,0,0,0,0,0.13,39,0,38,0,2.8,178
BEVERAGES_Code Red Mountain Dew  (12 fl oz),170,0,0,0,0,0.05,46,0,46,0,3.4,216
BEVERAGES_Code Red Mountain Dew  (16 fl oz),230,0,0,0,0,0.07,62,0,62,0,4.6,292
BEVERAGES_Code Red Mountain Dew  (20 fl oz),290,0,0,0,0,0.09,77,0,77,0,5.8,367
BEVERAGES_Code Red Mountain Dew  (30 fl oz),430,0,0,0,0,0.13,116,0,115,0,8.6,545
BEVERAGES_Diet Dr Pepper  (12 fl oz),0,0,0,0,0,0.07,0,0,0,0,0,0
BEVERAGES_Diet Dr Pepper  (16 fl oz),0,0,0,0,0,0.1,0,0,0,0,0,0
BEVERAGES_Diet Dr Pepper  (20 fl oz),0,0,0,0,0,0.12,0,0,0,0,0,0
BEVERAGES_Diet Dr Pepper  (30 fl oz),0,0,0,0,0,0.18,0,0,0,0,0,0
BEVERAGES_Diet Mist Twst  (12 fl oz),0,0,0,0,0,0.04,0,0,0,0,0,0
BEVERAGES_Diet Mist Twst  (16 fl oz),0,0,0,0,0,0.05,0,0,0,0,0,0
BEVERAGES_Diet Mist Twst  (20 fl oz),0,0,0,0,0,0.06,0,0,0,0,0,0
BEVERAGES_Diet Mist Twst  (30 fl oz),5,0,0,0,0,0.1,0,0,0,0,0.1,5
BEVERAGES_Diet Mountain Dew  (12 fl oz),0,0,0,0,0,0.06,1,0,0,0,0,0
BEVERAGES_Diet Mountain Dew  (16 fl oz),5,0,0,0,0,0.08,1,0,0,0,0.1,5
BEVERAGES_Diet Mountain Dew  (20 fl oz),10,0,0,0,0,0.09,1,0,1,0,0.2,11
BEVERAGES_Diet Mountain Dew  (30 fl oz),10,0,0,0,0,0.14,1,0,1,0,0.2,11
BEVERAGES_Diet Pepsi  (12 fl oz),0,0,0,0,0,0.06,0,0,0,0,0,0
BEVERAGES_Diet Pepsi  (16 fl oz),0,0,0,0,0,0.08,0,0,0,0,0,0
BEVERAGES_Diet Pepsi  (20 fl oz),0,0,0,0,0,0.1,0,0,0,0,0,0
BEVERAGES_Diet Pepsi  (30 fl oz),0,0,0,0,0,0.14,0,0,0,0,0,0
BEVERAGES_Diet Pepsi  Wild Cherry Pepsi  (12 fl oz),0,0,0,0,0,0.04,0,0,0,0,0,0
